age_plot,age_group,pa_bucket,broad_archetype_tuned,player_seasons,players,survived,exited,survival_rate,exit_rate,next_year_survival_rate,gap_return_rate,reduced_role_rate,avg_xwoba,avg_ev_p90,small_cell
22,22 and under,600+ PA,Complete,3,2,3,0,1,0,1,0,0,0.3960224727512039,104.84666666666666,TRUE
22,22 and under,600+ PA,Contact/discipline-based,17,14,14,3,0.8235294117647058,0.17647058823529416,0.8235294117647058,0,0,0.3109082909179704,101.06823529411764,FALSE
22,22 and under,600+ PA,Low offensive profile,12,10,11,1,0.9166666666666666,0.08333333333333337,0.8333333333333334,0.08333333333333333,0,0.2809961617382681,100.94500000000001,FALSE
22,22 and under,600+ PA,Middle-profile,6,6,4,2,0.6666666666666666,0.33333333333333337,0.5,0.16666666666666666,0.16666666666666666,0.2890849635858409,101.87666666666667,TRUE
22,22 and under,600+ PA,Power-based,36,29,29,7,0.8055555555555556,0.19444444444444442,0.75,0.05555555555555555,0,0.34860169482197945,105.27361111111111,FALSE
23,23,50-199 PA,Contact/discipline-based,8,8,7,1,0.875,0.125,0.875,0,0,0.24245207021753412,98.38875,TRUE
23,23,50-199 PA,Low offensive profile,4,4,4,0,1,0,1,0,0,0.2615135835246294,99.83000000000001,TRUE
23,23,50-199 PA,Middle-profile,3,3,2,1,0.6666666666666666,0.33333333333333337,0.6666666666666666,0,0.3333333333333333,0.22808141173986832,100.50666666666667,TRUE
23,23,50-199 PA,Power-based,4,4,4,0,1,0,0.75,0.25,0,0.2974154350637896,104.66250000000001,TRUE
23,23,200-399 PA,Contact/discipline-based,19,19,16,3,0.8421052631578947,0.1578947368421053,0.7894736842105263,0.05263157894736842,0.10526315789473684,0.26272463703245935,99.75,FALSE
23,23,200-399 PA,Low offensive profile,12,12,8,4,0.6666666666666666,0.33333333333333337,0.5833333333333334,0.08333333333333333,0.25,0.24227271232584677,100.13333333333333,FALSE
23,23,200-399 PA,Middle-profile,4,4,4,0,1,0,1,0,0,0.27417302632558405,101.045,TRUE
23,23,200-399 PA,Power-based,4,4,4,0,1,0,1,0,0,0.3290462881348375,105.45750000000001,TRUE
23,23,400-599 PA,Complete,1,1,1,0,1,0,1,0,0,0.36447325842696626,104.75999999999999,TRUE
23,23,400-599 PA,Contact/discipline-based,9,9,8,1,0.8888888888888888,0.11111111111111116,0.8888888888888888,0,0,0.29215642128309904,98.79777777777778,TRUE
23,23,400-599 PA,Low offensive profile,7,7,4,3,0.5714285714285714,0.4285714285714286,0.5714285714285714,0,0.14285714285714285,0.26093945296068727,100.39285714285714,TRUE
23,23,400-599 PA,Middle-profile,3,3,1,2,0.3333333333333333,0.6666666666666667,0.3333333333333333,0,0,0.29356562403268227,100.15666666666667,TRUE
23,23,400-599 PA,Power-based,5,5,5,0,1,0,0.8,0.2,0,0.31480569969518307,105.114,TRUE
23,23,600+ PA,Complete,8,8,7,1,0.875,0.125,0.875,0,0,0.36978000111612835,104.6675,TRUE
23,23,600+ PA,Contact/discipline-based,26,26,19,7,0.7307692307692307,0.2692307692307693,0.7307692307692307,0,0,0.30151406094282734,100.09961538461539,FALSE
23,23,600+ PA,Low offensive profile,29,29,26,3,0.896551724137931,0.10344827586206895,0.8275862068965517,0.06896551724137931,0.06896551724137931,0.28276299453879644,101.0651724137931,FALSE
23,23,600+ PA,Middle-profile,13,13,10,3,0.7692307692307693,0.23076923076923073,0.7692307692307693,0,0.15384615384615385,0.2919323936495997,101.1723076923077,FALSE
23,23,600+ PA,Power-based,38,38,30,8,0.7894736842105263,0.21052631578947367,0.7631578947368421,0.02631578947368421,0,0.3423375127164707,104.9028947368421,FALSE
24,24,50-199 PA,Complete,1,1,1,0,1,0,1,0,0,0.3488541951219512,105.9,TRUE
24,24,50-199 PA,Contact/discipline-based,6,6,6,0,1,0,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.25477081951566954,98.30166666666668,TRUE
24,24,50-199 PA,Low offensive profile,13,13,10,3,0.7692307692307693,0.23076923076923073,0.6923076923076923,0.07692307692307693,0.15384615384615385,0.23436655013770186,99.19076923076923,FALSE
24,24,50-199 PA,Middle-profile,2,2,1,1,0.5,0.5,0.5,0,0,0.28401979440728353,102.535,TRUE
24,24,50-199 PA,Power-based,5,5,5,0,1,0,0.6,0.4,0.2,0.2955968758901286,102.892,TRUE
24,24,200-399 PA,Complete,1,1,1,0,1,0,1,0,0,0.3950684385964912,105.58000000000001,TRUE
24,24,200-399 PA,Contact/discipline-based,18,18,14,4,0.7777777777777778,0.2222222222222222,0.7222222222222222,0.05555555555555555,0.1111111111111111,0.28831159294665337,99.00222222222223,FALSE
24,24,200-399 PA,Low offensive profile,31,31,23,8,0.7419354838709677,0.25806451612903225,0.5483870967741935,0.1935483870967742,0.25806451612903225,0.2555324893498416,99.77645161290323,FALSE
24,24,200-399 PA,Middle-profile,6,6,4,2,0.6666666666666666,0.33333333333333337,0.5,0.16666666666666666,0.16666666666666666,0.2671197128303367,99.57166666666666,TRUE
24,24,200-399 PA,Power-based,20,20,16,4,0.8,0.19999999999999996,0.75,0.05,0.05,0.3119278605161584,103.9855,FALSE
24,24,400-599 PA,Complete,2,2,2,0,1,0,0.5,0.5,0.5,0.35222475743119264,103.51,TRUE
24,24,400-599 PA,Contact/discipline-based,12,12,10,2,0.8333333333333334,0.16666666666666663,0.6666666666666666,0.16666666666666666,0.08333333333333333,0.30320885437975087,99.4375,FALSE
24,24,400-599 PA,Low offensive profile,18,18,17,1,0.9444444444444444,0.05555555555555558,0.8333333333333334,0.1111111111111111,0.05555555555555555,0.26144538419348645,100.55388888888889,FALSE
24,24,400-599 PA,Middle-profile,5,5,3,2,0.6,0.4,0.6,0,0,0.28613169731914595,101.78,TRUE
24,24,400-599 PA,Power-based,8,8,6,2,0.75,0.25,0.75,0,0.125,0.31466825850476876,103.95,TRUE
24,24,600+ PA,Complete,10,10,9,1,0.9,0.09999999999999998,0.9,0,0,0.3703750346331043,104.142,FALSE
24,24,600+ PA,Contact/discipline-based,50,50,42,8,0.84,0.16000000000000003,0.8,0.04,0.04,0.3001543227520447,100.3246,FALSE
24,24,600+ PA,Low offensive profile,39,39,34,5,0.8717948717948718,0.1282051282051282,0.8461538461538461,0.02564102564102564,0.02564102564102564,0.2805882698939428,101.53538461538461,FALSE
24,24,600+ PA,Middle-profile,22,22,17,5,0.7727272727272727,0.2272727272727273,0.7727272727272727,0,0,0.2984872335236492,101.15954545454545,FALSE
24,24,600+ PA,Power-based,88,88,76,12,0.8636363636363636,0.13636363636363635,0.8636363636363636,0,0,0.3414871185619747,104.58522727272728,FALSE
25,25,50-199 PA,Complete,1,1,1,0,1,0,1,0,0,0.36703009855430424,104.06,TRUE
25,25,50-199 PA,Contact/discipline-based,11,11,5,6,0.45454545454545453,0.5454545454545454,0.36363636363636365,0.09090909090909091,0.18181818181818182,0.25674311678584766,97.64909090909092,FALSE
25,25,50-199 PA,Low offensive profile,16,16,9,7,0.5625,0.4375,0.5,0.0625,0.1875,0.2416585149770822,99.443125,FALSE
25,25,50-199 PA,Middle-profile,1,1,1,0,1,0,0,1,1,0.2570106086956522,100.97999999999999,TRUE
25,25,50-199 PA,Power-based,5,5,4,1,0.8,0.19999999999999996,0.6,0.2,0,0.30683988813123214,105.428,TRUE
25,25,200-399 PA,Complete,1,1,1,0,1,0,1,0,0,0.32613419371345026,105.75999999999999,TRUE
25,25,200-399 PA,Contact/discipline-based,19,19,15,4,0.7894736842105263,0.21052631578947367,0.7894736842105263,0,0.05263157894736842,0.27834639367432573,98.51,FALSE
25,25,200-399 PA,Low offensive profile,29,29,17,12,0.5862068965517241,0.4137931034482759,0.4482758620689655,0.13793103448275862,0.3103448275862069,0.23664405429890858,99.47275862068966,FALSE
25,25,200-399 PA,Middle-profile,8,8,6,2,0.75,0.25,0.75,0,0.125,0.27513096641954277,100.38875,TRUE
25,25,200-399 PA,Power-based,17,17,14,3,0.8235294117647058,0.17647058823529416,0.7647058823529411,0.058823529411764705,0.11764705882352941,0.3152856211768259,103.55411764705883,FALSE
25,25,400-599 PA,Contact/discipline-based,24,24,19,5,0.7916666666666666,0.20833333333333337,0.7083333333333334,0.08333333333333333,0.08333333333333333,0.28539122742789097,99.26541666666667,FALSE
25,25,400-599 PA,Low offensive profile,17,17,12,5,0.7058823529411765,0.2941176470588235,0.7058823529411765,0,0.23529411764705882,0.27177370926673905,100.59705882352941,FALSE
25,25,400-599 PA,Middle-profile,6,6,5,1,0.8333333333333334,0.16666666666666663,0.8333333333333334,0,0,0.2683304316518382,99.73166666666667,TRUE
25,25,400-599 PA,Power-based,14,14,12,2,0.8571428571428571,0.1428571428571429,0.8571428571428571,0,0,0.2934024949263999,104.23071428571428,FALSE
25,25,600+ PA,Complete,14,14,13,1,0.9285714285714286,0.0714285714285714,0.9285714285714286,0,0,0.3623910852081487,104.40285714285714,FALSE
25,25,600+ PA,Contact/discipline-based,91,91,75,16,0.8241758241758241,0.17582417582417587,0.7912087912087912,0.03296703296703297,0.03296703296703297,0.30332488239358063,100.21725274725274,FALSE
25,25,600+ PA,Low offensive profile,55,55,44,11,0.8,0.19999999999999996,0.7454545454545455,0.05454545454545454,0.09090909090909091,0.2829594298254327,102.05472727272728,FALSE
25,25,600+ PA,Middle-profile,40,40,35,5,0.875,0.125,0.85,0.025,0.025,0.29680606124950815,100.5515,FALSE
25,25,600+ PA,Power-based,99,99,87,12,0.8787878787878788,0.12121212121212122,0.8585858585858586,0.020202020202020204,0.04040404040404041,0.3355681845503378,104.31373737373737,FALSE
26,26,50-199 PA,Contact/discipline-based,13,13,10,3,0.7692307692307693,0.23076923076923073,0.5384615384615384,0.23076923076923078,0.3076923076923077,0.23030054972643607,97.39076923076924,FALSE
26,26,50-199 PA,Low offensive profile,22,22,12,10,0.5454545454545454,0.4545454545454546,0.4090909090909091,0.13636363636363635,0.22727272727272727,0.2246305731665111,98.25,FALSE
26,26,50-199 PA,Middle-profile,5,5,1,4,0.2,0.8,0.2,0,0,0.25794407277684345,98.904,TRUE
26,26,50-199 PA,Power-based,8,8,6,2,0.75,0.25,0.75,0,0.125,0.3352084819179648,104.44125,TRUE
26,26,200-399 PA,Complete,1,1,1,0,1,0,1,0,0,0.4382915238095238,105.8,TRUE
26,26,200-399 PA,Contact/discipline-based,20,20,15,5,0.75,0.25,0.65,0.1,0.1,0.2823752351440535,97.7565,FALSE
26,26,200-399 PA,Low offensive profile,39,39,23,16,0.5897435897435898,0.41025641025641024,0.5384615384615384,0.05128205128205128,0.1794871794871795,0.24245638360241845,99.32564102564102,FALSE
26,26,200-399 PA,Middle-profile,13,13,9,4,0.6923076923076923,0.3076923076923077,0.6923076923076923,0,0.07692307692307693,0.26186313924369586,100.05846153846154,FALSE
26,26,200-399 PA,Power-based,10,10,6,4,0.6,0.4,0.5,0.1,0.2,0.3287087899278913,104.717,FALSE
26,26,400-599 PA,Contact/discipline-based,22,22,14,8,0.6363636363636364,0.36363636363636365,0.6363636363636364,0,0.18181818181818182,0.28110920771662384,99.51045454545455,FALSE
26,26,400-599 PA,Low offensive profile,28,28,19,9,0.6785714285714286,0.3214285714285714,0.6428571428571429,0.03571428571428571,0.17857142857142858,0.2660039967209986,100.13357142857143,FALSE
26,26,400-599 PA,Middle-profile,11,11,8,3,0.7272727272727273,0.2727272727272727,0.6363636363636364,0.09090909090909091,0,0.2741194396789613,99.85454545454546,FALSE
26,26,400-599 PA,Power-based,10,10,7,3,0.7,0.30000000000000004,0.6,0.1,0.2,0.3286005734023042,104.88000000000001,FALSE
26,26,600+ PA,Complete,27,27,23,4,0.8518518518518519,0.14814814814814814,0.8148148148148148,0.037037037037037035,0,0.36376369817597765,104.51407407407407,FALSE
26,26,600+ PA,Contact/discipline-based,114,114,92,22,0.8070175438596491,0.19298245614035092,0.7894736842105263,0.017543859649122806,0.017543859649122806,0.3022460984728579,100.23850877192983,FALSE
26,26,600+ PA,Low offensive profile,50,50,42,8,0.84,0.16000000000000003,0.82,0.02,0.06,0.28807706224504137,101.34100000000001,FALSE
26,26,600+ PA,Middle-profile,40,40,35,5,0.875,0.125,0.825,0.05,0.05,0.29548149518796085,100.918,FALSE
26,26,600+ PA,Power-based,109,109,95,14,0.8715596330275229,0.12844036697247707,0.8623853211009175,0.009174311926605505,0.01834862385321101,0.3404411222845765,104.83009174311927,FALSE
27,27,50-199 PA,Contact/discipline-based,10,10,3,7,0.3,0.7,0.2,0.1,0.1,0.24103807598790708,97.488,FALSE
27,27,50-199 PA,Low offensive profile,22,22,10,12,0.45454545454545453,0.5454545454545454,0.3181818181818182,0.13636363636363635,0.2727272727272727,0.2220196373876444,98.62227272727273,FALSE
27,27,50-199 PA,Middle-profile,6,6,2,4,0.3333333333333333,0.6666666666666667,0.3333333333333333,0,0.3333333333333333,0.2663147936329978,98.09833333333333,TRUE
27,27,50-199 PA,Power-based,9,9,4,5,0.4444444444444444,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.36385941185918697,104.35888888888888,TRUE
27,27,200-399 PA,Contact/discipline-based,17,17,12,5,0.7058823529411765,0.2941176470588235,0.5882352941176471,0.11764705882352941,0.058823529411764705,0.2780936380337701,98.7035294117647,FALSE
27,27,200-399 PA,Low offensive profile,43,43,21,22,0.4883720930232558,0.5116279069767442,0.46511627906976744,0.023255813953488372,0.23255813953488372,0.248618240602327,100.39,FALSE
27,27,200-399 PA,Middle-profile,5,5,4,1,0.8,0.19999999999999996,0.8,0,0,0.25097159097210714,101.572,TRUE
27,27,200-399 PA,Power-based,15,15,10,5,0.6666666666666666,0.33333333333333337,0.6,0.06666666666666667,0.06666666666666667,0.3116303430539334,104.15333333333334,FALSE
27,27,400-599 PA,Complete,2,2,2,0,1,0,1,0,0,0.3722148591300467,104.69999999999999,TRUE
27,27,400-599 PA,Contact/discipline-based,14,14,10,4,0.7142857142857143,0.2857142857142857,0.6428571428571429,0.07142857142857142,0.2857142857142857,0.2713582027653326,100.47357142857143,FALSE
27,27,400-599 PA,Low offensive profile,27,27,14,13,0.5185185185185185,0.4814814814814815,0.48148148148148145,0.037037037037037035,0.14814814814814814,0.2618930761597904,100.84,FALSE
27,27,400-599 PA,Middle-profile,7,7,5,2,0.7142857142857143,0.2857142857142857,0.7142857142857143,0,0,0.2831576591571704,100.51,TRUE
27,27,400-599 PA,Power-based,9,9,6,3,0.6666666666666666,0.33333333333333337,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.32447240107418246,104.56,TRUE
27,27,600+ PA,Complete,17,17,17,0,1,0,1,0,0,0.36715668316015077,104.25764705882354,FALSE
27,27,600+ PA,Contact/discipline-based,121,121,103,18,0.8512396694214877,0.14876033057851235,0.8347107438016529,0.01652892561983471,0.024793388429752067,0.29997474204150854,99.89628099173554,FALSE
27,27,600+ PA,Low offensive profile,51,51,45,6,0.8823529411764706,0.11764705882352944,0.8431372549019608,0.0392156862745098,0.058823529411764705,0.2850103185358551,101.50666666666667,FALSE
27,27,600+ PA,Middle-profile,42,42,29,13,0.6904761904761905,0.30952380952380953,0.6428571428571429,0.047619047619047616,0.11904761904761904,0.2912340183129017,100.82809523809524,FALSE
27,27,600+ PA,Power-based,123,123,107,16,0.8699186991869918,0.13008130081300817,0.8536585365853658,0.016260162601626018,0.04065040650406504,0.33617410055029684,104.5108943089431,FALSE
28,28,50-199 PA,Contact/discipline-based,9,9,1,8,0.1111111111111111,0.8888888888888888,0.1111111111111111,0,0.2222222222222222,0.2454072320183877,97.03666666666668,TRUE
28,28,50-199 PA,Low offensive profile,19,19,9,10,0.47368421052631576,0.5263157894736843,0.3684210526315789,0.10526315789473684,0.10526315789473684,0.202616410374947,98.26789473684211,FALSE
28,28,50-199 PA,Middle-profile,7,7,2,5,0.2857142857142857,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2782791679767741,96.51857142857143,TRUE
28,28,50-199 PA,Power-based,7,7,3,4,0.42857142857142855,0.5714285714285714,0.42857142857142855,0,0,0.350200885166075,103.13714285714286,TRUE
28,28,200-399 PA,Complete,2,2,2,0,1,0,1,0,0,0.32977825645065717,103.845,TRUE
28,28,200-399 PA,Contact/discipline-based,15,15,9,6,0.6,0.4,0.4666666666666667,0.13333333333333333,0.13333333333333333,0.2620674489452234,98.85533333333333,FALSE
28,28,200-399 PA,Low offensive profile,41,41,21,20,0.5121951219512195,0.4878048780487805,0.4634146341463415,0.04878048780487805,0.12195121951219512,0.249942946780275,100.02365853658537,FALSE
28,28,200-399 PA,Middle-profile,11,11,5,6,0.45454545454545453,0.5454545454545454,0.45454545454545453,0,0.18181818181818182,0.26537578277945517,100.31090909090909,FALSE
28,28,200-399 PA,Power-based,16,16,10,6,0.625,0.375,0.625,0,0.0625,0.3114360290761051,103.98125,FALSE
28,28,400-599 PA,Contact/discipline-based,11,11,4,7,0.36363636363636365,0.6363636363636364,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.29762023196310716,99.9590909090909,FALSE
28,28,400-599 PA,Low offensive profile,20,20,10,10,0.5,0.5,0.45,0.05,0.15,0.2563890300282877,101.304,FALSE
28,28,400-599 PA,Middle-profile,10,10,7,3,0.7,0.30000000000000004,0.6,0.1,0.2,0.2700895574726342,99.3,FALSE
28,28,400-599 PA,Power-based,9,9,7,2,0.7777777777777778,0.2222222222222222,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.31873291226449013,104.85111111111111,TRUE
28,28,600+ PA,Complete,18,18,17,1,0.9444444444444444,0.05555555555555558,0.9444444444444444,0,0,0.364143844663159,104.81611111111111,FALSE
28,28,600+ PA,Contact/discipline-based,128,128,102,26,0.796875,0.203125,0.765625,0.03125,0.0625,0.3049714341384254,100.356015625,FALSE
28,28,600+ PA,Low offensive profile,50,50,41,9,0.82,0.18000000000000005,0.78,0.04,0.06,0.288937776656364,101.6984,FALSE
28,28,600+ PA,Middle-profile,33,33,24,9,0.7272727272727273,0.2727272727272727,0.696969696969697,0.030303030303030304,0.09090909090909091,0.2957542516512314,100.94151515151515,FALSE
28,28,600+ PA,Power-based,115,115,100,15,0.8695652173913043,0.13043478260869568,0.8434782608695652,0.02608695652173913,0.034782608695652174,0.3429730970374826,104.44173913043478,FALSE
29,29,50-199 PA,Complete,2,2,0,2,0,1,0,0,0.5,0.39208328365384615,101.535,TRUE
29,29,50-199 PA,Contact/discipline-based,10,10,7,3,0.7,0.30000000000000004,0.7,0,0.1,0.2670218658928304,98.759,FALSE
29,29,50-199 PA,Low offensive profile,5,5,2,3,0.4,0.6,0.2,0.2,0,0.2466882385519116,99.718,TRUE
29,29,50-199 PA,Middle-profile,2,2,2,0,1,0,0.5,0.5,0,0.22695483387096774,102.775,TRUE
29,29,50-199 PA,Power-based,2,2,0,2,0,1,0,0,0,0.2834463613445378,107.08,TRUE
29,29,200-399 PA,Contact/discipline-based,23,23,10,13,0.43478260869565216,0.5652173913043479,0.30434782608695654,0.13043478260869565,0.17391304347826086,0.26874912755147556,99.09913043478261,FALSE
29,29,200-399 PA,Low offensive profile,35,35,13,22,0.37142857142857144,0.6285714285714286,0.34285714285714286,0.02857142857142857,0.17142857142857143,0.23903166763375758,99.31228571428572,FALSE
29,29,200-399 PA,Middle-profile,8,8,2,6,0.25,0.75,0.25,0,0.25,0.2850682449352397,99.07375,TRUE
29,29,200-399 PA,Power-based,15,15,5,10,0.3333333333333333,0.6666666666666667,0.26666666666666666,0.06666666666666667,0.4666666666666667,0.30366416526063295,103.78133333333334,FALSE
29,29,400-599 PA,Complete,1,1,1,0,1,0,1,0,0,0.3684198146966059,104.6,TRUE
29,29,400-599 PA,Contact/discipline-based,16,16,9,7,0.5625,0.4375,0.375,0.1875,0.1875,0.27699347187248086,98.25562500000001,FALSE
29,29,400-599 PA,Low offensive profile,13,13,8,5,0.6153846153846154,0.3846153846153846,0.46153846153846156,0.15384615384615385,0.15384615384615385,0.2653378628855518,100.5323076923077,FALSE
29,29,400-599 PA,Middle-profile,10,10,8,2,0.8,0.19999999999999996,0.7,0.1,0.1,0.2723317226510038,99.488,FALSE
29,29,400-599 PA,Power-based,8,8,4,4,0.5,0.5,0.5,0,0.125,0.3177253625691884,102.86625000000001,TRUE
29,29,600+ PA,Complete,19,19,17,2,0.8947368421052632,0.10526315789473684,0.8947368421052632,0,0,0.3657073907923475,104.38421052631578,FALSE
29,29,600+ PA,Contact/discipline-based,97,97,76,21,0.7835051546391752,0.21649484536082475,0.7525773195876289,0.030927835051546393,0.08247422680412371,0.30566548183066156,100.35876288659794,FALSE
29,29,600+ PA,Low offensive profile,44,44,39,5,0.8863636363636364,0.11363636363636365,0.8636363636363636,0.022727272727272728,0.022727272727272728,0.2879960761525315,101.44795454545455,FALSE
29,29,600+ PA,Middle-profile,30,30,18,12,0.6,0.4,0.5666666666666667,0.03333333333333333,0.13333333333333333,0.2967992388014361,100.854,FALSE
29,29,600+ PA,Power-based,114,114,97,17,0.8508771929824561,0.14912280701754388,0.8333333333333334,0.017543859649122806,0.043859649122807015,0.3428522020442351,104.4830701754386,FALSE
30,30,50-199 PA,Contact/discipline-based,4,4,3,1,0.75,0.25,0.75,0,0,0.27453009825744035,98.04,TRUE
30,30,50-199 PA,Low offensive profile,9,9,6,3,0.6666666666666666,0.33333333333333337,0.6666666666666666,0,0.1111111111111111,0.25810000580988285,97.63888888888889,TRUE
30,30,50-199 PA,Middle-profile,3,3,0,3,0,1,0,0,0,0.3147884848621441,97.46000000000001,TRUE
30,30,50-199 PA,Power-based,3,3,2,1,0.6666666666666666,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33944841044872626,105.2,TRUE
30,30,200-399 PA,Contact/discipline-based,15,15,8,7,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.06666666666666667,0.2,0.24724287707170767,98.78533333333333,FALSE
30,30,200-399 PA,Low offensive profile,20,20,5,15,0.25,0.75,0.25,0,0.25,0.2537091901676128,98.84700000000001,FALSE
30,30,200-399 PA,Middle-profile,4,4,2,2,0.5,0.5,0.5,0,0.25,0.29462918582741593,100.0125,TRUE
30,30,200-399 PA,Power-based,5,5,4,1,0.8,0.19999999999999996,0.8,0,0,0.335123360370942,104.748,TRUE
30,30,400-599 PA,Complete,1,1,1,0,1,0,1,0,0,0.36264952666666667,104.67999999999999,TRUE
30,30,400-599 PA,Contact/discipline-based,10,10,7,3,0.7,0.30000000000000004,0.7,0,0.1,0.3034028009705113,99.794,FALSE
30,30,400-599 PA,Low offensive profile,8,8,5,3,0.625,0.375,0.25,0.375,0.5,0.2504477784993388,100.30125000000001,TRUE
30,30,400-599 PA,Middle-profile,8,8,6,2,0.75,0.25,0.5,0.25,0.25,0.2686336685921207,99.1525,TRUE
30,30,400-599 PA,Power-based,9,9,8,1,0.8888888888888888,0.11111111111111116,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.3526154256578227,104.35333333333334,TRUE
30,30,600+ PA,Complete,19,19,14,5,0.7368421052631579,0.26315789473684215,0.7368421052631579,0,0,0.35090354709901334,104.06894736842105,FALSE
30,30,600+ PA,Contact/discipline-based,86,86,73,13,0.8488372093023255,0.15116279069767447,0.8488372093023255,0,0,0.3112988474466837,100.51406976744187,FALSE
30,30,600+ PA,Low offensive profile,42,42,34,8,0.8095238095238095,0.19047619047619047,0.7619047619047619,0.047619047619047616,0.07142857142857142,0.2804380920112706,101.0552380952381,FALSE
30,30,600+ PA,Middle-profile,25,25,21,4,0.84,0.16000000000000003,0.84,0,0.08,0.3033633151441924,101.1628,FALSE
30,30,600+ PA,Power-based,98,98,83,15,0.8469387755102041,0.15306122448979587,0.8469387755102041,0,0.030612244897959183,0.3489676311798959,104.42071428571428,FALSE
31,31,50-199 PA,Complete,1,1,1,0,1,0,0,1,0,0.380661875,105.13,TRUE
31,31,50-199 PA,Contact/discipline-based,10,10,1,9,0.1,0.9,0.1,0,0.1,0.24532143672401427,99.138,FALSE
31,31,50-199 PA,Low offensive profile,6,6,4,2,0.6666666666666666,0.33333333333333337,0.6666666666666666,0,0.3333333333333333,0.22598619692584263,97.165,TRUE
31,31,50-199 PA,Middle-profile,1,1,1,0,1,0,1,0,0,0.3093663296703297,100.4,TRUE
31,31,50-199 PA,Power-based,2,2,0,2,0,1,0,0,1,0.352930140625,103.44,TRUE
31,31,200-399 PA,Contact/discipline-based,13,13,3,10,0.23076923076923078,0.7692307692307692,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.2699596577421494,98.1523076923077,FALSE
31,31,200-399 PA,Low offensive profile,16,16,7,9,0.4375,0.5625,0.4375,0,0.125,0.24306558518938762,99.244375,FALSE
31,31,200-399 PA,Middle-profile,6,6,5,1,0.8333333333333334,0.16666666666666663,0.8333333333333334,0,0,0.3013816256797614,100.47166666666666,TRUE
31,31,200-399 PA,Power-based,7,7,2,5,0.2857142857142857,0.7142857142857143,0.2857142857142857,0,0.5714285714285714,0.3437029028682093,103.88142857142857,TRUE
31,31,400-599 PA,Contact/discipline-based,11,11,7,4,0.6363636363636364,0.36363636363636365,0.6363636363636364,0,0.09090909090909091,0.25488757045719107,98.23454545454545,FALSE
31,31,400-599 PA,Low offensive profile,8,8,3,5,0.375,0.625,0.375,0,0.25,0.24649559763454354,99.9075,TRUE
31,31,400-599 PA,Middle-profile,3,3,2,1,0.6666666666666666,0.33333333333333337,0.6666666666666666,0,0,0.2550474642732688,96.26333333333334,TRUE
31,31,400-599 PA,Power-based,4,4,2,2,0.5,0.5,0.5,0,0.25,0.362713225547283,106.6825,TRUE
31,31,600+ PA,Complete,18,18,15,3,0.8333333333333334,0.16666666666666663,0.8333333333333334,0,0,0.3664082046443501,103.84277777777777,FALSE
