batter,season,full_name,birth_date,height,weight,current_age,bat_side,throw_hand,primary_position,height_inches,age
623182,2025,Patrick Kivlehan,1989-12-22,"6' 2""",215,36,R,R,RF,74,36
541608,2015,Ramón Cabrera,1989-11-05,"5' 8""",195,36,S,R,C,68,26
541608,2016,Ramón Cabrera,1989-11-05,"5' 8""",195,36,S,R,C,68,27
541608,2017,Ramón Cabrera,1989-11-05,"5' 8""",195,36,S,R,C,68,28
541608,2018,Ramón Cabrera,1989-11-05,"5' 8""",195,36,S,R,C,68,29
541608,2019,Ramón Cabrera,1989-11-05,"5' 8""",195,36,S,R,C,68,30
541608,2020,Ramón Cabrera,1989-11-05,"5' 8""",195,36,S,R,C,68,31
541608,2021,Ramón Cabrera,1989-11-05,"5' 8""",195,36,S,R,C,68,32
541608,2022,Ramón Cabrera,1989-11-05,"5' 8""",195,36,S,R,C,68,33
541608,2023,Ramón Cabrera,1989-11-05,"5' 8""",195,36,S,R,C,68,34
541608,2024,Ramón Cabrera,1989-11-05,"5' 8""",195,36,S,R,C,68,35
541608,2025,Ramón Cabrera,1989-11-05,"5' 8""",195,36,S,R,C,68,36
571976,2015,Wil Myers,1990-12-10,"6' 3""",207,35,R,R,1B,75,25
571976,2016,Wil Myers,1990-12-10,"6' 3""",207,35,R,R,1B,75,26
571976,2017,Wil Myers,1990-12-10,"6' 3""",207,35,R,R,1B,75,27
571976,2018,Wil Myers,1990-12-10,"6' 3""",207,35,R,R,1B,75,28
571976,2019,Wil Myers,1990-12-10,"6' 3""",207,35,R,R,1B,75,29
571976,2020,Wil Myers,1990-12-10,"6' 3""",207,35,R,R,1B,75,30
571976,2021,Wil Myers,1990-12-10,"6' 3""",207,35,R,R,1B,75,31
571976,2022,Wil Myers,1990-12-10,"6' 3""",207,35,R,R,1B,75,32
571976,2023,Wil Myers,1990-12-10,"6' 3""",207,35,R,R,1B,75,33
571976,2024,Wil Myers,1990-12-10,"6' 3""",207,35,R,R,1B,75,34
571976,2025,Wil Myers,1990-12-10,"6' 3""",207,35,R,R,1B,75,35
453311,2015,Tim Lincecum,1984-06-15,"5' 11""",170,41,L,R,P,71,31
453311,2016,Tim Lincecum,1984-06-15,"5' 11""",170,41,L,R,P,71,32
453311,2017,Tim Lincecum,1984-06-15,"5' 11""",170,41,L,R,P,71,33
453311,2018,Tim Lincecum,1984-06-15,"5' 11""",170,41,L,R,P,71,34
453311,2019,Tim Lincecum,1984-06-15,"5' 11""",170,41,L,R,P,71,35
453311,2020,Tim Lincecum,1984-06-15,"5' 11""",170,41,L,R,P,71,36
453311,2021,Tim Lincecum,1984-06-15,"5' 11""",170,41,L,R,P,71,37
453311,2022,Tim Lincecum,1984-06-15,"5' 11""",170,41,L,R,P,71,38
453311,2023,Tim Lincecum,1984-06-15,"5' 11""",170,41,L,R,P,71,39
453311,2024,Tim Lincecum,1984-06-15,"5' 11""",170,41,L,R,P,71,40
453311,2025,Tim Lincecum,1984-06-15,"5' 11""",170,41,L,R,P,71,41
506560,2015,Alexi Amarista,1989-04-06,"5' 6""",160,37,L,R,SS,66,26
506560,2016,Alexi Amarista,1989-04-06,"5' 6""",160,37,L,R,SS,66,27
506560,2017,Alexi Amarista,1989-04-06,"5' 6""",160,37,L,R,SS,66,28
506560,2018,Alexi Amarista,1989-04-06,"5' 6""",160,37,L,R,SS,66,29
506560,2019,Alexi Amarista,1989-04-06,"5' 6""",160,37,L,R,SS,66,30
506560,2020,Alexi Amarista,1989-04-06,"5' 6""",160,37,L,R,SS,66,31
506560,2021,Alexi Amarista,1989-04-06,"5' 6""",160,37,L,R,SS,66,32
506560,2022,Alexi Amarista,1989-04-06,"5' 6""",160,37,L,R,SS,66,33
506560,2023,Alexi Amarista,1989-04-06,"5' 6""",160,37,L,R,SS,66,34
506560,2024,Alexi Amarista,1989-04-06,"5' 6""",160,37,L,R,SS,66,35
506560,2025,Alexi Amarista,1989-04-06,"5' 6""",160,37,L,R,SS,66,36
592621,2015,Kyle Parker,1989-09-30,"6' 0""",205,36,R,R,LF,72,26
592621,2016,Kyle Parker,1989-09-30,"6' 0""",205,36,R,R,LF,72,27
592621,2017,Kyle Parker,1989-09-30,"6' 0""",205,36,R,R,LF,72,28
592621,2018,Kyle Parker,1989-09-30,"6' 0""",205,36,R,R,LF,72,29
592621,2019,Kyle Parker,1989-09-30,"6' 0""",205,36,R,R,LF,72,30
592621,2020,Kyle Parker,1989-09-30,"6' 0""",205,36,R,R,LF,72,31
592621,2021,Kyle Parker,1989-09-30,"6' 0""",205,36,R,R,LF,72,32
592621,2022,Kyle Parker,1989-09-30,"6' 0""",205,36,R,R,LF,72,33
592621,2023,Kyle Parker,1989-09-30,"6' 0""",205,36,R,R,LF,72,34
592621,2024,Kyle Parker,1989-09-30,"6' 0""",205,36,R,R,LF,72,35
592621,2025,Kyle Parker,1989-09-30,"6' 0""",205,36,R,R,LF,72,36
592835,2015,Kyle Waldrop,1991-11-26,"6' 2""",215,34,L,L,RF,74,24
592835,2016,Kyle Waldrop,1991-11-26,"6' 2""",215,34,L,L,RF,74,25
592835,2017,Kyle Waldrop,1991-11-26,"6' 2""",215,34,L,L,RF,74,26
592835,2018,Kyle Waldrop,1991-11-26,"6' 2""",215,34,L,L,RF,74,27
592835,2019,Kyle Waldrop,1991-11-26,"6' 2""",215,34,L,L,RF,74,28
592835,2020,Kyle Waldrop,1991-11-26,"6' 2""",215,34,L,L,RF,74,29
592835,2021,Kyle Waldrop,1991-11-26,"6' 2""",215,34,L,L,RF,74,30
592835,2022,Kyle Waldrop,1991-11-26,"6' 2""",215,34,L,L,RF,74,31
592835,2023,Kyle Waldrop,1991-11-26,"6' 2""",215,34,L,L,RF,74,32
592835,2024,Kyle Waldrop,1991-11-26,"6' 2""",215,34,L,L,RF,74,33
592835,2025,Kyle Waldrop,1991-11-26,"6' 2""",215,34,L,L,RF,74,34
592637,2015,D.J. Peterson,1991-12-31,"6' 1""",210,34,R,R,1B,73,24
592637,2016,D.J. Peterson,1991-12-31,"6' 1""",210,34,R,R,1B,73,25
592637,2017,D.J. Peterson,1991-12-31,"6' 1""",210,34,R,R,1B,73,26
592637,2018,D.J. Peterson,1991-12-31,"6' 1""",210,34,R,R,1B,73,27
592637,2019,D.J. Peterson,1991-12-31,"6' 1""",210,34,R,R,1B,73,28
592637,2020,D.J. Peterson,1991-12-31,"6' 1""",210,34,R,R,1B,73,29
592637,2021,D.J. Peterson,1991-12-31,"6' 1""",210,34,R,R,1B,73,30
592637,2022,D.J. Peterson,1991-12-31,"6' 1""",210,34,R,R,1B,73,31
592637,2023,D.J. Peterson,1991-12-31,"6' 1""",210,34,R,R,1B,73,32
592637,2024,D.J. Peterson,1991-12-31,"6' 1""",210,34,R,R,1B,73,33
592637,2025,D.J. Peterson,1991-12-31,"6' 1""",210,34,R,R,1B,73,34
594011,2015,Rosell Herrera,1992-10-16,"6' 3""",180,33,S,R,2B,75,23
594011,2016,Rosell Herrera,1992-10-16,"6' 3""",180,33,S,R,2B,75,24
594011,2017,Rosell Herrera,1992-10-16,"6' 3""",180,33,S,R,2B,75,25
594011,2018,Rosell Herrera,1992-10-16,"6' 3""",180,33,S,R,2B,75,26
594011,2019,Rosell Herrera,1992-10-16,"6' 3""",180,33,S,R,2B,75,27
594011,2020,Rosell Herrera,1992-10-16,"6' 3""",180,33,S,R,2B,75,28
594011,2021,Rosell Herrera,1992-10-16,"6' 3""",180,33,S,R,2B,75,29
594011,2022,Rosell Herrera,1992-10-16,"6' 3""",180,33,S,R,2B,75,30
594011,2023,Rosell Herrera,1992-10-16,"6' 3""",180,33,S,R,2B,75,31
594011,2024,Rosell Herrera,1992-10-16,"6' 3""",180,33,S,R,2B,75,32
594011,2025,Rosell Herrera,1992-10-16,"6' 3""",180,33,S,R,2B,75,33
430001,2015,Rickie Weeks Jr.,1982-09-13,"6' 0""",210,43,R,R,2B,72,33
430001,2016,Rickie Weeks Jr.,1982-09-13,"6' 0""",210,43,R,R,2B,72,34
430001,2017,Rickie Weeks Jr.,1982-09-13,"6' 0""",210,43,R,R,2B,72,35
430001,2018,Rickie Weeks Jr.,1982-09-13,"6' 0""",210,43,R,R,2B,72,36
430001,2019,Rickie Weeks Jr.,1982-09-13,"6' 0""",210,43,R,R,2B,72,37
430001,2020,Rickie Weeks Jr.,1982-09-13,"6' 0""",210,43,R,R,2B,72,38
430001,2021,Rickie Weeks Jr.,1982-09-13,"6' 0""",210,43,R,R,2B,72,39
430001,2022,Rickie Weeks Jr.,1982-09-13,"6' 0""",210,43,R,R,2B,72,40
430001,2023,Rickie Weeks Jr.,1982-09-13,"6' 0""",210,43,R,R,2B,72,41
430001,2024,Rickie Weeks Jr.,1982-09-13,"6' 0""",210,43,R,R,2B,72,42
430001,2025,Rickie Weeks Jr.,1982-09-13,"6' 0""",210,43,R,R,2B,72,43
468406,2015,Jonathan Herrera,1984-11-03,"5' 9""",180,41,S,R,2B,69,31
468406,2016,Jonathan Herrera,1984-11-03,"5' 9""",180,41,S,R,2B,69,32
468406,2017,Jonathan Herrera,1984-11-03,"5' 9""",180,41,S,R,2B,69,33
468406,2018,Jonathan Herrera,1984-11-03,"5' 9""",180,41,S,R,2B,69,34
468406,2019,Jonathan Herrera,1984-11-03,"5' 9""",180,41,S,R,2B,69,35
468406,2020,Jonathan Herrera,1984-11-03,"5' 9""",180,41,S,R,2B,69,36
468406,2021,Jonathan Herrera,1984-11-03,"5' 9""",180,41,S,R,2B,69,37
468406,2022,Jonathan Herrera,1984-11-03,"5' 9""",180,41,S,R,2B,69,38
468406,2023,Jonathan Herrera,1984-11-03,"5' 9""",180,41,S,R,2B,69,39
468406,2024,Jonathan Herrera,1984-11-03,"5' 9""",180,41,S,R,2B,69,40
468406,2025,Jonathan Herrera,1984-11-03,"5' 9""",180,41,S,R,2B,69,41
477165,2015,Brett Wallace,1986-08-26,"6' 2""",250,39,L,R,1B,74,29
477165,2016,Brett Wallace,1986-08-26,"6' 2""",250,39,L,R,1B,74,30
477165,2017,Brett Wallace,1986-08-26,"6' 2""",250,39,L,R,1B,74,31
477165,2018,Brett Wallace,1986-08-26,"6' 2""",250,39,L,R,1B,74,32
477165,2019,Brett Wallace,1986-08-26,"6' 2""",250,39,L,R,1B,74,33
477165,2020,Brett Wallace,1986-08-26,"6' 2""",250,39,L,R,1B,74,34
477165,2021,Brett Wallace,1986-08-26,"6' 2""",250,39,L,R,1B,74,35
477165,2022,Brett Wallace,1986-08-26,"6' 2""",250,39,L,R,1B,74,36
477165,2023,Brett Wallace,1986-08-26,"6' 2""",250,39,L,R,1B,74,37
477165,2024,Brett Wallace,1986-08-26,"6' 2""",250,39,L,R,1B,74,38
477165,2025,Brett Wallace,1986-08-26,"6' 2""",250,39,L,R,1B,74,39
424325,2015,David Ross,1977-03-19,"6' 2""",230,49,R,R,C,74,38
424325,2016,David Ross,1977-03-19,"6' 2""",230,49,R,R,C,74,39
424325,2017,David Ross,1977-03-19,"6' 2""",230,49,R,R,C,74,40
424325,2018,David Ross,1977-03-19,"6' 2""",230,49,R,R,C,74,41
424325,2019,David Ross,1977-03-19,"6' 2""",230,49,R,R,C,74,42
424325,2020,David Ross,1977-03-19,"6' 2""",230,49,R,R,C,74,43
424325,2021,David Ross,1977-03-19,"6' 2""",230,49,R,R,C,74,44
424325,2022,David Ross,1977-03-19,"6' 2""",230,49,R,R,C,74,45
424325,2023,David Ross,1977-03-19,"6' 2""",230,49,R,R,C,74,46
424325,2024,David Ross,1977-03-19,"6' 2""",230,49,R,R,C,74,47
424325,2025,David Ross,1977-03-19,"6' 2""",230,49,R,R,C,74,48
491696,2015,Jesús Sucre,1988-04-30,"6' 0""",200,38,R,R,C,72,27
491696,2016,Jesús Sucre,1988-04-30,"6' 0""",200,38,R,R,C,72,28
491696,2017,Jesús Sucre,1988-04-30,"6' 0""",200,38,R,R,C,72,29
491696,2018,Jesús Sucre,1988-04-30,"6' 0""",200,38,R,R,C,72,30
491696,2019,Jesús Sucre,1988-04-30,"6' 0""",200,38,R,R,C,72,31
491696,2020,Jesús Sucre,1988-04-30,"6' 0""",200,38,R,R,C,72,32
491696,2021,Jesús Sucre,1988-04-30,"6' 0""",200,38,R,R,C,72,33
491696,2022,Jesús Sucre,1988-04-30,"6' 0""",200,38,R,R,C,72,34
491696,2023,Jesús Sucre,1988-04-30,"6' 0""",200,38,R,R,C,72,35
491696,2024,Jesús Sucre,1988-04-30,"6' 0""",200,38,R,R,C,72,36
491696,2025,Jesús Sucre,1988-04-30,"6' 0""",200,38,R,R,C,72,37
572804,2015,Cody Decker,1987-01-17,"5' 11""",218,39,R,R,1B,71,28
572804,2016,Cody Decker,1987-01-17,"5' 11""",218,39,R,R,1B,71,29
572804,2017,Cody Decker,1987-01-17,"5' 11""",218,39,R,R,1B,71,30
572804,2018,Cody Decker,1987-01-17,"5' 11""",218,39,R,R,1B,71,31
572804,2019,Cody Decker,1987-01-17,"5' 11""",218,39,R,R,1B,71,32
572804,2020,Cody Decker,1987-01-17,"5' 11""",218,39,R,R,1B,71,33
572804,2021,Cody Decker,1987-01-17,"5' 11""",218,39,R,R,1B,71,34
572804,2022,Cody Decker,1987-01-17,"5' 11""",218,39,R,R,1B,71,35
572804,2023,Cody Decker,1987-01-17,"5' 11""",218,39,R,R,1B,71,36
572804,2024,Cody Decker,1987-01-17,"5' 11""",218,39,R,R,1B,71,37
572804,2025,Cody Decker,1987-01-17,"5' 11""",218,39,R,R,1B,71,38
502374,2015,Michael McKenry,1985-03-04,"5' 10""",205,41,R,R,C,70,30
502374,2016,Michael McKenry,1985-03-04,"5' 10""",205,41,R,R,C,70,31
502374,2017,Michael McKenry,1985-03-04,"5' 10""",205,41,R,R,C,70,32
502374,2018,Michael McKenry,1985-03-04,"5' 10""",205,41,R,R,C,70,33
502374,2019,Michael McKenry,1985-03-04,"5' 10""",205,41,R,R,C,70,34
502374,2020,Michael McKenry,1985-03-04,"5' 10""",205,41,R,R,C,70,35
502374,2021,Michael McKenry,1985-03-04,"5' 10""",205,41,R,R,C,70,36
502374,2022,Michael McKenry,1985-03-04,"5' 10""",205,41,R,R,C,70,37
502374,2023,Michael McKenry,1985-03-04,"5' 10""",205,41,R,R,C,70,38
502374,2024,Michael McKenry,1985-03-04,"5' 10""",205,41,R,R,C,70,39
502374,2025,Michael McKenry,1985-03-04,"5' 10""",205,41,R,R,C,70,40
443558,2015,Nelson Cruz,1980-07-01,"6' 2""",230,45,R,R,DH,74,35
443558,2016,Nelson Cruz,1980-07-01,"6' 2""",230,45,R,R,DH,74,36
443558,2017,Nelson Cruz,1980-07-01,"6' 2""",230,45,R,R,DH,74,37
443558,2018,Nelson Cruz,1980-07-01,"6' 2""",230,45,R,R,DH,74,38
443558,2019,Nelson Cruz,1980-07-01,"6' 2""",230,45,R,R,DH,74,39
443558,2020,Nelson Cruz,1980-07-01,"6' 2""",230,45,R,R,DH,74,40
443558,2021,Nelson Cruz,1980-07-01,"6' 2""",230,45,R,R,DH,74,41
443558,2022,Nelson Cruz,1980-07-01,"6' 2""",230,45,R,R,DH,74,42
443558,2023,Nelson Cruz,1980-07-01,"6' 2""",230,45,R,R,DH,74,43
443558,2024,Nelson Cruz,1980-07-01,"6' 2""",230,45,R,R,DH,74,44
443558,2025,Nelson Cruz,1980-07-01,"6' 2""",230,45,R,R,DH,74,45
519025,2015,Will Middlebrooks,1988-09-09,"6' 3""",220,37,R,R,3B,75,27
519025,2016,Will Middlebrooks,1988-09-09,"6' 3""",220,37,R,R,3B,75,28
519025,2017,Will Middlebrooks,1988-09-09,"6' 3""",220,37,R,R,3B,75,29
519025,2018,Will Middlebrooks,1988-09-09,"6' 3""",220,37,R,R,3B,75,30
519025,2019,Will Middlebrooks,1988-09-09,"6' 3""",220,37,R,R,3B,75,31
519025,2020,Will Middlebrooks,1988-09-09,"6' 3""",220,37,R,R,3B,75,32
519025,2021,Will Middlebrooks,1988-09-09,"6' 3""",220,37,R,R,3B,75,33
519025,2022,Will Middlebrooks,1988-09-09,"6' 3""",220,37,R,R,3B,75,34
519025,2023,Will Middlebrooks,1988-09-09,"6' 3""",220,37,R,R,3B,75,35
519025,2024,Will Middlebrooks,1988-09-09,"6' 3""",220,37,R,R,3B,75,36
519025,2025,Will Middlebrooks,1988-09-09,"6' 3""",220,37,R,R,3B,75,37
519304,2015,Neftali Soto,1989-02-28,"6' 1""",210,37,R,R,1B,73,26
519304,2016,Neftali Soto,1989-02-28,"6' 1""",210,37,R,R,1B,73,27
519304,2017,Neftali Soto,1989-02-28,"6' 1""",210,37,R,R,1B,73,28
519304,2018,Neftali Soto,1989-02-28,"6' 1""",210,37,R,R,1B,73,29
519304,2019,Neftali Soto,1989-02-28,"6' 1""",210,37,R,R,1B,73,30
519304,2020,Neftali Soto,1989-02-28,"6' 1""",210,37,R,R,1B,73,31
519304,2021,Neftali Soto,1989-02-28,"6' 1""",210,37,R,R,1B,73,32
519304,2022,Neftali Soto,1989-02-28,"6' 1""",210,37,R,R,1B,73,33
519304,2023,Neftali Soto,1989-02-28,"6' 1""",210,37,R,R,1B,73,34
519304,2024,Neftali Soto,1989-02-28,"6' 1""",210,37,R,R,1B,73,35
519304,2025,Neftali Soto,1989-02-28,"6' 1""",210,37,R,R,1B,73,36
474832,2015,Brandon Belt,1988-04-20,"6' 3""",230,38,L,L,1B,75,27
474832,2016,Brandon Belt,1988-04-20,"6' 3""",230,38,L,L,1B,75,28
474832,2017,Brandon Belt,1988-04-20,"6' 3""",230,38,L,L,1B,75,29
474832,2018,Brandon Belt,1988-04-20,"6' 3""",230,38,L,L,1B,75,30
474832,2019,Brandon Belt,1988-04-20,"6' 3""",230,38,L,L,1B,75,31
474832,2020,Brandon Belt,1988-04-20,"6' 3""",230,38,L,L,1B,75,32
474832,2021,Brandon Belt,1988-04-20,"6' 3""",230,38,L,L,1B,75,33
474832,2022,Brandon Belt,1988-04-20,"6' 3""",230,38,L,L,1B,75,34
474832,2023,Brandon Belt,1988-04-20,"6' 3""",230,38,L,L,1B,75,35
474832,2024,Brandon Belt,1988-04-20,"6' 3""",230,38,L,L,1B,75,36
474832,2025,Brandon Belt,1988-04-20,"6' 3""",230,38,L,L,1B,75,37
457763,2015,Buster Posey,1987-03-27,"6' 1""",213,39,R,R,C,73,28
457763,2016,Buster Posey,1987-03-27,"6' 1""",213,39,R,R,C,73,29
457763,2017,Buster Posey,1987-03-27,"6' 1""",213,39,R,R,C,73,30
457763,2018,Buster Posey,1987-03-27,"6' 1""",213,39,R,R,C,73,31
457763,2019,Buster Posey,1987-03-27,"6' 1""",213,39,R,R,C,73,32
457763,2020,Buster Posey,1987-03-27,"6' 1""",213,39,R,R,C,73,33
457763,2021,Buster Posey,1987-03-27,"6' 1""",213,39,R,R,C,73,34
457763,2022,Buster Posey,1987-03-27,"6' 1""",213,39,R,R,C,73,35
457763,2023,Buster Posey,1987-03-27,"6' 1""",213,39,R,R,C,73,36
457763,2024,Buster Posey,1987-03-27,"6' 1""",213,39,R,R,C,73,37
457763,2025,Buster Posey,1987-03-27,"6' 1""",213,39,R,R,C,73,38
